m = ,4,Unnamed: 2,UTL =,15,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
n = ,4,,LTL =,0,,,,,,,,,,,,,,,,
r = ,3,,,,,,,,,,,,,,,,,,,
,Driver1,,,,,Driver2,,,,,Driver3,,,,,Driver4,,,,
Route,T1,T2,T3,T4,Range,T1,T2,T3,T4,Range,T1,T2,T3,T4,Range,T1,T2,T3,T4,Range
1,10,11,10,11,1,10,8,10,9,2,8,7,9,9,2,10,10,10,9,1
2,11,9,10,11,2,9,11,10,10,2,10,9,10,10,1,8,7,9,8,2
3,9,10,9,10,1,8,9,8,8,1,10,10,8,10,2,11,10,10,11,1
,,,,,,,,,,,,,,,,,,,,
,,,,R1 = ,1.33,,,,R2 = ,1.66,,,,R3 = ,1.66,,,,R4 = ,1.33
R-double bar = ,1.495,,,,,,,,,,,,,,,,,,,
K1 = ,2.5,,,,,,,,,,,,,,,,,,,
K2 = ,2.7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,X1 = ,10.083,,,,X2 = ,9.166,,,,X3 = ,9.166,,,,X4 = ,9.416,,,
Xd = ,0.91,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
EV = ,3.737,0.2491,,,,,,,,,,,,,,,,,,
AV = ,2.228,0.1485,,,,,,,,,,,,,,,,,,
R&R = ,14.769,0.22025,,,,,,,,,,,,,,,,,,
