Highways,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Hour,Vehicles arriving(hourly basis) ,Vehicles Waiting(>15 min),Fraction Non-conforming,UCL,CL,LCL
1,2548,355,0.1393,0.13203,0.1132,0.09437
2,2280,271,0.1188,0.133106,0.1132,0.093294
3,1537,243,0.1581,0.137445,0.1132,0.088955
4,1129,120,0.1062,0.141489,0.1132,0.084911
5,1240,218,0.1758,0.140193,0.1132,0.086207
6,1566,254,0.1621,0.137219,0.1132,0.089181
7,1779,372,0.2091,0.13561,0.1132,0.09079
8,2785,427,0.1533,0.131211,0.1132,0.095189
9,4359,513,0.1176,0.127597,0.1132,0.098803
10,5247,569,0.1084,0.126322,0.1132,0.100078
11,5200,553,0.1063,0.126381,0.1132,0.100019
12,5091,522,0.1025,0.126522,0.1132,0.099878
13,4536,425,0.0936,0.127313,0.1132,0.099087
14,3988,367,0.092,0.128251,0.1132,0.098149
15,3672,289,0.0787,0.128886,0.1132,0.097514
16,3883,301,0.0775,0.128454,0.1132,0.097946
17,5912,459,0.0776,0.125562,0.1132,0.100838
18,5998,498,0.083,0.125473,0.1132,0.100927
19,6451,613,0.095,0.125034,0.1132,0.101366
20,6259,599,0.0957,0.125214,0.1132,0.101186
21,5033,437,0.0868,0.126598,0.1132,0.099802
22,4266,375,0.0879,0.127753,0.1132,0.098647
23,3378,329,0.0973,0.129554,0.1132,0.096846
24,2716,259,0.0953,0.131439,0.1132,0.094961
Total,90853,9368,,,,
,,P-Bar,0.1132,,,
