Highways,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Hour,Vehicles arriving (hourly basis),Vehicles Waiting (>15 min),Fraction Non-conforming,UCL,CL,LCL
1,2670,155,0.058,0.059908,0.044,0.032092
2,2391,121,0.0506,0.056583,0.044,0.031417
3,1748,103,0.0589,0.059717,0.044,0.029283
4,1456,90,0.0618,0.062125,0.044,0.027875
5,1397,88,0.0629,0.063622,0.044,0.027538
6,1971,114,0.0578,0.057859,0.044,0.030141
7,2043,92,0.045,0.057613,0.044,0.030387
8,2979,157,0.0527,0.055273,0.044,0.032727
9,4855,193,0.0397,0.05283,0.044,0.03571
10,5534,219,0.0395,0.052271,0.044,0.035729
11,5733,221,0.0385,0.052126,0.044,0.035874
12,5427,202,0.0372,0.052352,0.044,0.035648
13,4947,187,0.0378,0.052748,0.044,0.035252
14,4299,169,0.0393,0.053384,0.044,0.034616
15,3983,154,0.0386,0.053749,0.044,0.034521
16,4378,171,0.039,0.053299,0.044,0.034701
17,6413,214,0.0333,0.051683,0.044,0.030317
18,6576,221,0.0336,0.051587,0.044,0.031413
19,6881,257,0.0373,0.051417,0.044,0.036583
20,6746,239,0.0354,0.051491,0.044,0.034501
21,5623,230,0.0409,0.052205,0.044,0.035795
22,4837,187,0.0386,0.052847,0.044,0.035153
23,3922,150,0.0382,0.053825,0.044,0.034715
24,2945,148,0.0502,0.055338,0.044,0.032662
Total,99754,4082,,,,
,,P-bar,0.044,,,
