Non-Highways,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Hour,Vehicles arriving(hourly basis),Vehicles Waiting(>15 min),Fraction Non-conforming,UCL,CL,LCL
1,3098,708,0.2285,0.187522,0.1674,0.147278
2,2869,674,0.2349,0.18831,0.1674,0.14649
3,2145,299,0.1393,0.191583,0.1674,0.143217
4,1867,215,0.1151,0.193321,0.1674,0.141479
5,1920,220,0.1145,0.19296,0.1674,0.14184
6,2019,267,0.1322,0.192326,0.1674,0.142474
7,2198,301,0.1369,0.191289,0.1674,0.143511
8,3281,785,0.2392,0.186953,0.1674,0.147847
9,4875,809,0.1659,0.183441,0.1674,0.151359
10,5833,923,0.1582,0.182065,0.1674,0.152735
11,5777,902,0.1561,0.182136,0.1674,0.152664
12,5665,896,0.1581,0.18228,0.1674,0.15252
13,5124,843,0.1645,0.183046,0.1674,0.151754
14,4638,819,0.1765,0.183846,0.1674,0.150954
15,4289,771,0.1797,0.184502,0.1674,0.150298
16,4452,787,0.1767,0.184186,0.1674,0.150614
17,6590,989,0.15007,0.181197,0.1674,0.153603
18,6719,1012,0.1506,0.181064,0.1674,0.153736
19,7054,1057,0.1498,0.180735,0.1674,0.154065
20,6877,1028,0.1494,0.180906,0.1674,0.153894
21,5663,891,0.1573,0.182283,0.1674,0.152517
22,4835,798,0.165,0.183507,0.1674,0.151293
23,3969,783,0.1972,0.185178,0.1674,0.149622
24,3378,755,0.2235,0.18667,0.1674,0.14813
,105135,17531,,,,
,,P-Bar,0.1674,,,
