Non-Highways,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Hour,Vehicles arriving(hourly basis),Vehicles Waiting(>15 min),Fraction Non-conforming,UCL,CL,LCL
1,3398,148,0.0435,0.05254,0.0422,0.0318
2,3082,127,0.0412,0.05306,0.0422,0.0313
3,2776,103,0.0371,0.05364,0.0422,0.0307
4,2579,99,0.0383,0.05407,0.0422,0.0303
5,2410,95,0.0394,0.05448,0.0422,0.0299
6,2511,102,0.0406,0.05423,0.0422,0.0301
7,2673,115,0.043,0.05386,0.0422,0.0305
8,3781,162,0.0428,0.052,0.0422,0.0323
9,5375,227,0.0422,0.05042,0.0422,0.0339
10,6447,313,0.0485,0.04971,0.0422,0.0346
11,6245,273,0.0437,0.04983,0.0422,0.0345
12,6165,245,0.0478,0.04988,0.0422,0.0345
13,5674,207,0.0364,0.0502,0.0422,0.0341
14,5012,196,0.0391,0.05071,0.0422,0.0336
15,4681,180,0.0384,0.05101,0.0422,0.0333
16,4926,198,0.0365,0.05079,0.0422,0.0336
17,6993,306,0.0437,0.04941,0.0422,0.0349
18,7120,311,0.0436,0.04934,0.0422,0.035
19,7392,334,0.0451,0.04921,0.0422,0.0351
20,7264,322,0.0443,0.04927,0.0422,0.0351
21,6013,277,0.046,0.04997,0.0422,0.0342
22,5233,223,0.0445,0.05053,0.0422,0.0338
23,4409,169,0.0383,0.05128,0.0422,0.0333
24,3876,152,0.0392,0.05188,0.0422,0.0325
,116035,4906,,,,
,,P-Bar,0.0422,,,
