Unnamed: 0,Highways,Unnamed: 2,Unnamed: 3,Non-Highways,Unnamed: 5
Hour,Vehicles arriving(hourly basis) ,Vehicles Waiting(>15 min),,Vehicles arriving(hourly basis),Vehicles Waiting(>15 min)
1,2548,355,,3098,708
2,2280,271,,2869,674
3,1537,243,,2145,299
4,1129,120,,1867,215
5,1240,218,,1920,220
6,1566,254,,2019,267
7,1779,372,,2198,301
8,2785,427,,3281,785
9,4359,513,,4875,809
10,5247,569,,5833,923
11,5200,553,,5777,902
12,5091,522,,5665,896
13,4536,425,,5124,843
14,3988,367,,4638,819
15,3672,289,,4289,771
16,3883,301,,4452,787
17,5912,459,,6590,989
18,5998,498,,6719,1012
19,6451,613,,7054,1057
20,6259,599,,6877,1028
21,5033,437,,5663,891
22,4266,375,,4835,798
23,3378,329,,3969,783
24,2716,259,,3378,755
Total,90853,9368,,105135,17531
